Date,ServiceCategory,MarketingChannel,Season,CustomerType,AdSpend,Conversions,Revenue,DayName,MonthName,Year,ConversionRate,ROI,RevenuePerConversion,CustomerFlag,Segment,SpendPerConversion,PerformanceScore,LoyaltyPotential,ChannelEfficiency,Cost_per_Conversion
2024-08-14,Pastry,Instagram,Winter,Returning,168.18,4,43.17,Wednesday,August,2024,0.023784040908550363,0.2566892615055298,10.7925,1,Returning_Instagram,42.045,0.0061051078964331025,0.2566892615055298,0.023784040908550363,42.045
2025-01-17,Sandwich,Referral,Spring,Returning,162.77,7,251.34,Friday,January,2025,0.043005467838053694,1.5441420409166307,35.90571428571429,1,Returning_Referral,23.252857142857145,0.06640655087802676,1.5441420409166307,0.043005467838053694,23.252857142857145
2024-07-13,Pastry,Instagram,Fall,New,64.36,5,127.77,Saturday,July,2024,0.07768800497203232,1.9852392790553137,25.554,0,New_Instagram,12.872,0.15422927898192307,0.0,0.07768800497203232,12.872
2024-05-30,Coffee,Referral,Spring,New,129.95,9,48.87,Thursday,May,2024,0.06925740669488266,0.3760677183532128,5.43,0,New_Referral,14.438888888888888,0.026045474914805047,0.0,0.06925740669488266,14.438888888888888
2024-08-28,Sandwich,Flyers,Winter,New,25.84,9,401.44,Wednesday,August,2024,0.18808314201505583,5.815488989814098,44.60444444444445,0,New_Flyers,2.871111111111111,0.5606004644868534,0.0,0.18808314201505583,2.871111111111111
2025-01-15,Pastry,Instagram,Spring,Returning,178.42,3,68.92,Wednesday,January,2025,0.01681425849120054,0.3862795650711804,22.973333333333333,1,Returning_Instagram,59.47333333333333,0.006495004456975347,0.3862795650711804,0.01681425849120054,59.47333333333333
2025-03-14,Coffee,Flyers,Fall,Returning,57.52,5,89.65,Friday,March,2025,0.08692628650904033,1.5585883171070931,17.93,1,Returning_Flyers,11.504000000000001,0.13548229460249417,1.5585883171070931,0.08692628650904033,11.504000000000001
2024-10-21,Pastry,Referral,Summer,Returning,90.17,4,61.15,Monday,October,2024,0.04436065210158589,0.6781634690029943,15.2875,1,Returning_Referral,22.5425,0.03008377371644646,0.6781634690029943,0.04436065210158589,22.5425
2025-03-02,Coffee,Google Ads,Fall,Returning,36.93,9,409.72,Sunday,March,2025,0.18808314201505583,5.815488989814098,45.52444444444445,1,Returning_Google Ads,4.1033333333333335,0.5606004644868534,3.2240023204473434,0.18808314201505583,4.1033333333333335
2025-01-20,Pastry,Instagram,Spring,New,157.58,10,449.38,Monday,January,2025,0.0634598299276558,2.851757837288996,44.938,0,New_Instagram,15.758000000000001,0.1809720673492192,0.0,0.0634598299276558,15.758000000000001
2024-12-21,Sandwich,Instagram,Winter,New,130.18,3,23.57,Saturday,December,2024,0.023045014595175908,0.1810569980027654,7.8566666666666665,0,New_Instagram,43.39333333333334,0.004172461161532463,0.0,0.023045014595175908,43.39333333333334
2024-07-20,Sandwich,Flyers,Fall,Returning,156.82,6,247.76,Saturday,July,2024,0.038260425966075755,1.5799005228924883,41.29333333333333,1,Returning_Flyers,26.136666666666667,0.06044766698989242,1.5799005228924883,0.038260425966075755,26.136666666666667
2024-08-12,Smoothie,Google Ads,Winter,Returning,118.36,9,413.76,Monday,August,2024,0.07603920243325447,3.4957755998648192,45.97333333333333,1,Returning_Google Ads,13.151111111111112,0.26581598849935256,3.2240023204473434,0.07603920243325447,13.151111111111112
2024-05-27,Sandwich,Instagram,Spring,New,175.16,9,71.02,Monday,May,2024,0.05138159397122631,0.40545786709294357,7.891111111111111,0,New_Instagram,19.462222222222223,0.020833071499409068,0.0,0.05138159397122631,19.462222222222223
2024-05-29,Pastry,Google Ads,Spring,New,149.31,10,203.97,Wednesday,May,2024,0.06697475051905431,1.3660839863371508,20.397,0,New_Google Ads,14.931000000000001,0.09149313417300588,0.0,0.06697475051905431,14.931000000000001
2024-07-09,Coffee,Instagram,Fall,Returning,56.18,10,226.74,Tuesday,July,2024,0.17799928800284798,4.035955856176575,22.674,1,Returning_Instagram,5.618,0.5606004644868534,3.2240023204473434,0.17799928800284798,5.618
2024-05-11,Smoothie,Instagram,Spring,Returning,47.83,6,128.45,Saturday,May,2024,0.1254442818314865,2.6855530002090737,21.40833333333333,1,Returning_Instagram,7.971666666666667,0.3368872674316212,2.6855530002090737,0.1254442818314865,7.971666666666667
2025-02-08,Pastry,Referral,Summer,Returning,49.36,8,308.33,Saturday,February,2025,0.1620745542949757,5.815488989814098,38.54125,1,Returning_Referral,6.17,0.5606004644868534,3.2240023204473434,0.1620745542949757,6.17
2025-03-20,Smoothie,Google Ads,Fall,New,33.25,1,46.98,Thursday,March,2025,0.03007518796992481,1.4129323308270676,46.98,0,New_Google Ads,33.25,0.042494205438408046,0.0,0.03007518796992481,33.25
2024-06-10,Sandwich,Google Ads,Summer,New,116.49,4,173.43,Monday,June,2024,0.034337711391535755,1.4887973216585115,43.3575,0,New_Google Ads,29.1225,0.051121892751601394,0.0,0.034337711391535755,29.1225
2025-03-13,Smoothie,Flyers,Fall,Returning,180.92,5,116.82,Thursday,March,2025,0.0276365244306876,0.645699756798585,23.363999999999997,1,Returning_Flyers,36.184,0.017844897103653137,0.645699756798585,0.0276365244306876,36.184
2024-11-26,Pastry,Referral,Fall,Returning,122.75,4,181.49,Tuesday,November,2024,0.032586558044806514,1.4785336048879838,45.3725,1,Returning_Referral,30.6875,0.048180321136879305,1.4785336048879838,0.032586558044806514,30.6875
2024-05-09,Pastry,Referral,Spring,Returning,75.15,6,54.53,Thursday,May,2024,0.07984031936127745,0.7256154357950765,9.088333333333333,1,Returning_Referral,12.525,0.05793336812735141,0.7256154357950765,0.07984031936127745,12.525
2025-01-11,Smoothie,Instagram,Spring,Returning,140.65,1,44.44,Saturday,January,2025,0.007109847138286526,0.3159616068254532,44.44,1,Returning_Instagram,69.695,0.002246438726096361,0.3159616068254532,0.007109847138286526,140.65
2024-08-22,Smoothie,Google Ads,Winter,Returning,143.43,7,239.15,Thursday,August,2024,0.04880429477794045,1.66736387087778,34.16428571428572,1,Returning_Google Ads,20.490000000000002,0.08137451785640702,1.66736387087778,0.04880429477794045,20.490000000000002
2024-08-25,Smoothie,Referral,Winter,New,43.06,3,42.74,Sunday,August,2024,0.06967022758941012,0.9925685090571296,14.246666666666668,0,New_Referral,14.353333333333333,0.0691524739240917,0.0,0.06967022758941012,14.353333333333333
2025-03-01,Pastry,Referral,Fall,Returning,12.23,6,185.88,Saturday,March,2025,0.18808314201505583,5.815488989814098,30.98,1,Returning_Referral,2.0383333333333336,0.5606004644868534,3.2240023204473434,0.18808314201505583,2.0383333333333336
2024-05-22,Smoothie,Google Ads,Spring,New,75.49,10,156.2,Wednesday,May,2024,0.13246787653993908,2.0691482315538483,15.62,0,New_Google Ads,7.5489999999999995,0.27409567248030847,0.0,0.13246787653993908,7.5489999999999995
2024-07-27,Pastry,Flyers,Fall,New,23.64,4,159.59,Saturday,July,2024,0.1692047377326565,5.815488989814098,39.8975,0,New_Flyers,5.91,0.5606004644868534,0.0,0.1692047377326565,5.91
2024-10-02,Smoothie,Flyers,Summer,Returning,42.94,4,87.47,Wednesday,October,2024,0.09315323707498836,2.037028411737308,21.8675,1,Returning_Flyers,10.735,0.18975579056705247,2.037028411737308,0.09315323707498836,10.735
2025-01-06,Sandwich,Flyers,Spring,Returning,175.6,6,221.11,Monday,January,2025,0.03416856492027335,1.2591685649202735,36.85166666666667,1,Returning_Flyers,29.266666666666666,0.04302398285604579,1.2591685649202735,0.03416856492027335,29.266666666666666
2024-07-20,Pastry,Referral,Fall,New,133.85,9,449.64,Saturday,July,2024,0.0672394471423235,3.359282779230482,49.96,0,New_Referral,14.872222222222222,0.22587631687018556,0.0,0.0672394471423235,14.872222222222222
2025-04-30,Coffee,Flyers,Winter,Returning,50.9,4,55.64,Wednesday,April,2025,0.07858546168958742,1.0931237721021612,13.91,1,Returning_Flyers,12.725,0.08590363631451169,1.0931237721021612,0.07858546168958742,12.725
2024-11-19,Coffee,Flyers,Fall,Returning,175.91,8,85.25,Tuesday,November,2024,0.04547780114831448,0.48462281848672617,10.65625,1,Returning_Flyers,21.98875,0.022039580171075032,0.48462281848672617,0.04547780114831448,21.98875
2024-07-17,Smoothie,Referral,Fall,New,144.51,6,280.3,Wednesday,July,2024,0.041519618019514225,1.939658155144973,46.71666666666667,0,New_Referral,24.084999999999997,0.08053386569005494,0.0,0.041519618019514225,24.084999999999997
2024-09-05,Coffee,Instagram,Spring,Returning,136.66,4,75.78,Thursday,September,2024,0.029269720474169474,0.5545148543831406,18.945,1,Returning_Instagram,34.165,0.016230494786569315,0.5545148543831406,0.029269720474169474,34.165
2025-04-20,Sandwich,Instagram,Winter,New,150.85,5,198.89,Sunday,April,2025,0.03314550878355983,1.3184620483924427,39.778,0,New_Instagram,30.169999999999998,0.043701095405782,0.0,0.03314550878355983,30.169999999999998
2024-10-17,Pastry,Referral,Summer,Returning,62.67,8,279.06,Thursday,October,2024,0.1276527844263603,4.4528482527525135,34.8825,1,Returning_Referral,7.83375,0.5606004644868534,3.2240023204473434,0.1276527844263603,7.83375
2025-04-30,Smoothie,Flyers,Winter,New,170.98,3,86.81,Wednesday,April,2025,0.017545911802550006,0.507720201193122,28.936666666666667,0,New_Flyers,56.99333333333333,0.008908413870507463,0.0,0.017545911802550006,56.99333333333333
2025-04-11,Pastry,Flyers,Winter,Returning,119.92,9,141.5,Friday,April,2025,0.07505003335557038,1.1799533022014677,15.722222222222221,1,Returning_Flyers,13.324444444444445,0.08855553468823557,1.1799533022014677,0.07505003335557038,13.324444444444445
2025-04-09,Sandwich,Flyers,Winter,Returning,27.45,8,160.73,Wednesday,April,2025,0.18808314201505583,5.815488989814098,20.09125,1,Returning_Flyers,3.43125,0.5606004644868534,3.2240023204473434,0.18808314201505583,3.43125
2025-03-31,Coffee,Instagram,Fall,Returning,128.39,6,257.46,Monday,March,2025,0.046732611574110135,2.005296362645066,42.91,1,Returning_Instagram,21.39833333333333,0.09371273600646776,2.005296362645066,0.046732611574110135,21.39833333333333
2024-11-25,Pastry,Instagram,Fall,New,16.97,10,316.26,Monday,November,2024,0.18808314201505583,5.815488989814098,31.625999999999998,0,New_Instagram,1.6969999999999998,0.5606004644868534,0.0,0.18808314201505583,1.6969999999999998
2024-09-29,Coffee,Flyers,Spring,New,45.66,1,39.43,Sunday,September,2024,0.021901007446342532,0.863556723609286,39.43,0,New_Flyers,45.66,0.018912762234106133,0.0,0.021901007446342532,45.66
2025-04-17,Smoothie,Referral,Winter,Returning,145.06,10,188.11,Thursday,April,2025,0.06893699158968702,1.2967737487936026,18.811,1,Returning_Referral,14.506,0.0893956810143115,1.2967737487936026,0.06893699158968702,14.506
2025-02-02,Pastry,Instagram,Summer,New,169.73,2,51.26,Sunday,February,2025,0.01178342072703706,0.3020090732339598,25.63,0,New_Instagram,69.695,0.0035586999732982955,0.0,0.01178342072703706,84.865
2025-04-06,Sandwich,Instagram,Winter,New,17.76,6,54.83,Sunday,April,2025,0.18808314201505583,3.0872747747747744,9.138333333333334,0,New_Instagram,2.9600000000000004,0.5606004644868534,0.0,0.18808314201505583,2.9600000000000004
2025-04-23,Sandwich,Referral,Winter,New,95.94,9,373.08,Wednesday,April,2025,0.09380863039399626,3.888680425265791,41.45333333333333,0,New_Referral,10.66,0.36479178473412677,0.0,0.09380863039399626,10.66
2024-08-04,Smoothie,Instagram,Winter,New,107.65,6,68.63,Sunday,August,2024,0.0557361820715281,0.6375290292614955,11.438333333333333,0,New_Instagram,17.941666666666666,0.035533434050803274,0.0,0.0557361820715281,17.941666666666666
2025-04-25,Pastry,Referral,Winter,New,124.53,1,15.37,Friday,April,2025,0.008030193527664016,0.12342407452019592,15.37,0,New_Referral,69.695,0.0009911192043699985,0.0,0.008030193527664016,124.53
2025-02-19,Coffee,Instagram,Summer,New,139.04,2,31.85,Wednesday,February,2025,0.014384349827387804,0.22907077100115078,15.925,0,New_Instagram,69.52,0.0032950341053099943,0.0,0.014384349827387804,69.52
2024-08-27,Sandwich,Flyers,Winter,Returning,196.97,3,56.38,Tuesday,August,2024,0.015230745798852616,0.28623648271310353,18.793333333333333,1,Returning_Flyers,65.65666666666667,0.004359595106560951,0.28623648271310353,0.015230745798852616,65.65666666666667
2024-12-01,Coffee,Referral,Winter,New,16.46,5,45.94,Sunday,December,2024,0.18808314201505583,2.7910085054678007,9.187999999999999,0,New_Referral,3.2920000000000003,0.5606004644868534,0.0,0.18808314201505583,3.2920000000000003
2025-04-19,Coffee,Google Ads,Winter,New,139.47,10,178.06,Saturday,April,2025,0.07170000717000072,1.276690327669033,17.806,0,New_Google Ads,13.947,0.09153870564774022,0.0,0.07170000717000072,13.947
2024-06-28,Smoothie,Instagram,Summer,Returning,100.77,8,236.21,Friday,June,2024,0.07938870695643545,2.3440508087724523,29.52625,1,Returning_Instagram,12.59625,0.18609116274863172,2.3440508087724523,0.07938870695643545,12.59625
2025-02-01,Sandwich,Referral,Summer,New,140.07,8,257.84,Saturday,February,2025,0.05711429999286072,1.8407938887699007,32.23,0,New_Referral,17.50875,0.10513565438822879,0.0,0.05711429999286072,17.50875
2024-08-28,Smoothie,Flyers,Winter,New,66.33,10,344.96,Wednesday,August,2024,0.15076134479119555,5.200663349917081,34.495999999999995,0,New_Flyers,6.633,0.5606004644868534,0.0,0.15076134479119555,6.633
2024-06-22,Smoothie,Referral,Summer,New,121.21,7,220.4,Saturday,June,2024,0.05775101064268625,1.8183318208068642,31.485714285714288,0,New_Referral,17.315714285714286,0.10501050033535228,0.0,0.05775101064268625,17.315714285714286
2025-04-26,Coffee,Referral,Winter,Returning,89.01,6,114.83,Saturday,April,2025,0.06740815638692281,1.2900797663183912,19.138333333333332,1,Returning_Referral,14.835,0.08696189863959494,1.2900797663183912,0.06740815638692281,14.835
2024-08-03,Pastry,Flyers,Winter,Returning,187.07,1,17.29,Saturday,August,2024,0.005345592558935158,0.09242529534398888,17.29,1,Returning_Flyers,69.695,0.0004940679710482113,0.09242529534398888,0.005345592558935158,187.07
2025-01-09,Coffee,Flyers,Spring,Returning,60.24,1,8.3,Thursday,January,2025,0.016600265604249667,0.13778220451527226,8.3,1,Returning_Flyers,60.24,0.0022872211904925673,0.13778220451527226,0.016600265604249667,60.24
2025-04-19,Coffee,Instagram,Winter,New,132.19,3,22.87,Saturday,April,2025,0.02269460624858159,0.17300854830168697,7.623333333333334,0,New_Instagram,44.06333333333333,0.003926360881345494,0.0,0.02269460624858159,44.06333333333333
2024-10-25,Coffee,Instagram,Summer,New,76.78,5,189.01,Friday,October,2024,0.06512112529304506,2.461708778327689,37.802,0,New_Instagram,15.356,0.16030924578846634,0.0,0.06512112529304506,15.356
2024-12-10,Pastry,Instagram,Winter,Returning,181.27,7,272.98,Tuesday,December,2024,0.03861642853202405,1.5059303800959893,38.99714285714286,1,Returning_Instagram,25.895714285714288,0.05815365289718059,1.5059303800959893,0.03861642853202405,25.895714285714288
2024-11-05,Sandwich,Google Ads,Fall,Returning,143.86,2,68.72,Tuesday,November,2024,0.013902405116085082,0.47768663978868336,34.36,1,Returning_Google Ads,69.695,0.006640993184883683,0.47768663978868336,0.013902405116085082,71.93
2025-04-01,Coffee,Referral,Winter,New,114.44,7,224.67,Tuesday,April,2025,0.0611674239776302,1.963212163579168,32.09571428571429,0,New_Referral,16.34857142857143,0.12008463076768766,0.0,0.0611674239776302,16.34857142857143
2024-05-18,Sandwich,Google Ads,Spring,New,173.15,7,205.89,Saturday,May,2024,0.04042737510828761,1.1890846087207623,29.412857142857142,0,New_Google Ads,24.735714285714288,0.04807156951224566,0.0,0.04042737510828761,24.735714285714288
2025-01-08,Pastry,Referral,Spring,New,153.39,5,143.81,Wednesday,January,2025,0.03259664906447617,0.9375448203924638,28.762,0,New_Referral,30.677999999999997,0.030560819492550486,0.0,0.03259664906447617,30.677999999999997
2024-07-23,Sandwich,Instagram,Fall,Returning,162.83,2,32.07,Tuesday,July,2024,0.012282748879199164,0.1969538782779586,16.035,1,Returning_Instagram,69.695,0.0024191350276725246,0.1969538782779586,0.012282748879199164,81.415
2024-06-10,Smoothie,Flyers,Summer,Returning,122.72,6,153.43,Monday,June,2024,0.04889178617992177,1.2502444589308996,25.57166666666667,1,Returning_Flyers,20.453333333333333,0.061126684758681535,1.2502444589308996,0.04889178617992177,20.453333333333333
2024-07-04,Coffee,Instagram,Fall,Returning,20.25,3,90.82,Thursday,July,2024,0.14814814814814814,4.484938271604938,30.27333333333333,1,Returning_Instagram,6.75,0.5606004644868534,3.2240023204473434,0.14814814814814814,6.75
2025-03-28,Smoothie,Flyers,Fall,Returning,177.97,7,110.51,Friday,March,2025,0.039332471764904196,0.6209473506770804,15.787142857142857,1,Returning_Flyers,25.424285714285713,0.02442339413799833,0.6209473506770804,0.039332471764904196,25.424285714285713
2024-09-07,Pastry,Instagram,Spring,New,75.08,1,12.87,Saturday,September,2024,0.013319126265316995,0.17141715503462973,12.87,0,New_Instagram,69.695,0.002283126731947652,0.0,0.013319126265316995,75.08
2024-11-11,Smoothie,Flyers,Fall,Returning,97.04,3,21.22,Monday,November,2024,0.030915086562242372,0.21867271228359436,7.073333333333333,1,Returning_Flyers,32.34666666666667,0.006760285829047641,0.21867271228359436,0.030915086562242372,32.34666666666667
2024-12-18,Sandwich,Flyers,Winter,New,126.09,10,416.09,Wednesday,December,2024,0.07930843048616068,3.2999444840986594,41.608999999999995,0,New_Flyers,12.609,0.2617134177253279,0.0,0.07930843048616068,12.609
2024-11-30,Sandwich,Flyers,Fall,New,115.86,7,260.2,Saturday,November,2024,0.06041774555498015,2.2458139133436905,37.17142857142857,0,New_Flyers,16.55142857142857,0.13568701358023333,0.0,0.06041774555498015,16.55142857142857
2025-05-01,Pastry,Instagram,Spring,New,121.8,4,121.79,Thursday,May,2025,0.03284072249589491,0.9999178981937603,30.4475,0,New_Instagram,30.45,0.032838026213259784,0.0,0.03284072249589491,30.45
2024-10-31,Pastry,Google Ads,Summer,New,70.44,7,47.22,Thursday,October,2024,0.09937535491198184,0.6703577512776832,6.7457142857142856,0,New_Google Ads,10.062857142857142,0.0666170394512178,0.0,0.09937535491198184,10.062857142857142
2024-08-17,Coffee,Instagram,Winter,Returning,43.61,5,41.64,Saturday,August,2024,0.11465260261407934,0.9548268745700528,8.328,1,Returning_Instagram,8.722,0.10947338621532364,0.9548268745700528,0.11465260261407934,8.722
2025-01-23,Coffee,Flyers,Spring,Returning,125.01,7,288.32,Thursday,January,2025,0.055995520358371326,2.306375489960803,41.18857142857143,1,Returning_Flyers,17.85857142857143,0.1291466957021488,2.306375489960803,0.055995520358371326,17.85857142857143
2024-05-30,Smoothie,Instagram,Spring,Returning,21.5,9,126.83,Thursday,May,2024,0.18808314201505583,5.815488989814098,14.092222222222222,1,Returning_Instagram,2.388888888888889,0.5606004644868534,3.2240023204473434,0.18808314201505583,2.388888888888889
2024-12-09,Pastry,Google Ads,Winter,Returning,43.48,3,141.66,Monday,December,2024,0.06899724011039558,3.25804967801288,47.22,1,Returning_Google Ads,14.493333333333332,0.22479643592545168,3.2240023204473434,0.06899724011039558,14.493333333333332
2025-03-02,Smoothie,Referral,Fall,Returning,79.91,1,22.89,Sunday,March,2025,0.012514078338130397,0.2864472531598048,22.89,1,Returning_Referral,69.695,0.003584623365784067,0.2864472531598048,0.012514078338130397,79.91
2024-09-04,Coffee,Referral,Spring,New,87.26,5,64.28,Wednesday,September,2024,0.057300022920009165,0.7366490946596378,12.856,0,New_Referral,17.452,0.042210010008001245,0.0,0.057300022920009165,17.452
2024-06-22,Smoothie,Google Ads,Summer,New,91.56,10,449.46,Saturday,June,2024,0.109217999126256,4.908912188728702,44.946,0,New_Google Ads,9.156,0.5361415671394388,0.0,0.109217999126256,9.156
2025-03-19,Sandwich,Referral,Fall,Returning,75.16,8,53.68,Wednesday,March,2025,0.106439595529537,0.7142096860031932,6.71,1,Returning_Referral,9.395,0.07602019010145751,0.7142096860031932,0.106439595529537,9.395
2024-12-08,Smoothie,Instagram,Winter,Returning,114.34,1,17.67,Sunday,December,2024,0.00874584572328144,0.15453909393038306,17.67,1,Returning_Instagram,69.695,0.0013515750737308294,0.15453909393038306,0.00874584572328144,114.34
2024-06-19,Coffee,Instagram,Summer,Returning,173.93,6,187.85,Wednesday,June,2024,0.03449663657793365,1.080032196860806,31.308333333333334,1,Returning_Instagram,28.988333333333333,0.037257478187574515,1.080032196860806,0.03449663657793365,28.988333333333333
2024-05-19,Pastry,Google Ads,Spring,New,180.85,4,123.19,Sunday,May,2024,0.02211777716339508,0.68117224218966,30.7975,0,New_Google Ads,45.2125,0.015066015862641084,0.0,0.02211777716339508,45.2125
2024-08-17,Smoothie,Referral,Winter,Returning,51.31,6,115.35,Saturday,August,2024,0.11693626973299551,2.2480997856168385,19.224999999999998,1,Returning_Referral,8.551666666666668,0.26288440291758003,2.2480997856168385,0.11693626973299551,8.551666666666668
2024-07-09,Smoothie,Flyers,Fall,Returning,174.41,9,312.65,Tuesday,July,2024,0.05160254572558913,1.792615102345049,34.73888888888889,1,Returning_Flyers,19.378888888888888,0.09250350278714203,1.792615102345049,0.05160254572558913,19.378888888888888
2024-07-16,Smoothie,Referral,Fall,Returning,103.3,5,44.48,Tuesday,July,2024,0.0484027105517909,0.4305905130687318,8.895999999999999,1,Returning_Referral,20.66,0.020841747970412963,0.4305905130687318,0.0484027105517909,20.66
2024-06-05,Pastry,Flyers,Summer,New,157.98,5,130.21,Wednesday,June,2024,0.031649575895683,0.8242182554753767,26.042,0,New_Flyers,31.595999999999997,0.026086158231275376,0.0,0.031649575895683,31.595999999999997
2024-12-11,Coffee,Flyers,Winter,Returning,172.06,10,99.62,Wednesday,December,2024,0.0581192607230036,0.5789840753225619,9.962,1,Returning_Flyers,17.206,0.03365012642813913,0.5789840753225619,0.0581192607230036,17.206
2024-10-12,Smoothie,Google Ads,Summer,New,77.03,4,30.43,Saturday,October,2024,0.05192782032974166,0.39504089315850965,7.6075,0,New_Google Ads,19.2575,0.020513612522835758,0.0,0.05192782032974166,19.2575
2025-02-15,Coffee,Google Ads,Summer,New,159.69,7,123.54,Saturday,February,2025,0.04383493017721836,0.7736238962990796,17.64857142857143,0,New_Google Ads,22.812857142857144,0.03391174947769777,0.0,0.04383493017721836,22.812857142857144
2024-10-05,Pastry,Instagram,Summer,New,88.15,4,175.02,Saturday,October,2024,0.04537719795802609,1.9854792966534316,43.755,0,New_Instagram,22.0375,0.09009548708580517,0.0,0.04537719795802609,22.0375
2024-06-26,Sandwich,Flyers,Summer,New,16.16,10,165.42,Wednesday,June,2024,0.18808314201505583,5.815488989814098,16.541999999999998,0,New_Flyers,1.616,0.5606004644868534,0.0,0.18808314201505583,1.616
2024-05-23,Sandwich,Referral,Spring,Returning,148.44,2,94.92,Thursday,May,2024,0.013473457289140393,0.6394502829426031,47.46,1,Returning_Referral,69.695,0.008615606075755903,0.6394502829426031,0.013473457289140393,74.22
2025-01-09,Sandwich,Google Ads,Spring,New,34.11,6,36.23,Thursday,January,2025,0.1759014951627089,1.062151861624157,6.038333333333333,0,New_Google Ads,5.685,0.18683410054954389,0.0,0.1759014951627089,5.685
2024-07-19,Coffee,Instagram,Fall,Returning,24.83,7,229.47,Friday,July,2024,0.18808314201505583,5.815488989814098,32.78142857142857,1,Returning_Instagram,3.5471428571428567,0.5606004644868534,3.2240023204473434,0.18808314201505583,3.5471428571428567
2025-02-12,Sandwich,Flyers,Summer,New,91.47,3,104.54,Wednesday,February,2025,0.032797638570022956,1.1428883787034,34.84666666666667,0,New_Flyers,30.49,0.03748403997059364,0.0,0.032797638570022956,30.49
2024-11-16,Coffee,Google Ads,Fall,Returning,44.22,4,86.54,Saturday,November,2024,0.09045680687471733,1.9570330167345094,21.635,1,Returning_Google Ads,11.055,0.17702695764219895,1.9570330167345094,0.09045680687471733,11.055
2025-02-22,Coffee,Google Ads,Summer,Returning,97.45,8,73.33,Saturday,February,2025,0.08209338122113904,0.7524884556182657,9.16625,1,Returning_Google Ads,12.18125,0.06177432165157646,0.7524884556182657,0.08209338122113904,12.18125
2024-11-08,Coffee,Instagram,Fall,Returning,18.58,9,391.52,Friday,November,2024,0.18808314201505583,5.815488989814098,43.50222222222222,1,Returning_Instagram,2.0644444444444443,0.5606004644868534,3.2240023204473434,0.18808314201505583,2.0644444444444443
2025-03-14,Smoothie,Flyers,Fall,Returning,121.82,5,239.56,Friday,March,2025,0.04104416351994747,1.966507962567723,47.912,1,Returning_Flyers,24.363999999999997,0.08071367437890836,1.966507962567723,0.04104416351994747,24.363999999999997
2024-07-20,Smoothie,Flyers,Fall,Returning,36.13,3,25.24,Saturday,July,2024,0.08303349017437033,0.6985884306670356,8.413333333333332,1,Returning_Flyers,12.043333333333335,0.05800623559372008,0.6985884306670356,0.08303349017437033,12.043333333333335
2024-07-04,Sandwich,Instagram,Fall,New,26.98,6,264.97,Thursday,July,2024,0.18808314201505583,5.815488989814098,44.16166666666667,0,New_Instagram,4.496666666666667,0.5606004644868534,0.0,0.18808314201505583,4.496666666666667
2024-05-24,Pastry,Instagram,Spring,New,23.86,10,467.30875000000003,Friday,May,2024,0.18808314201505583,5.815488989814098,46.730875000000005,0,New_Instagram,2.386,0.5606004644868534,0.0,0.18808314201505583,2.386
2024-10-09,Coffee,Flyers,Summer,Returning,92.49,7,115.53,Wednesday,October,2024,0.0756838577143475,1.2491080116769382,16.504285714285714,1,Returning_Flyers,13.212857142857143,0.09453731302560892,1.2491080116769382,0.0756838577143475,13.212857142857143
2024-10-25,Pastry,Instagram,Summer,Returning,20.53,2,29.88,Friday,October,2024,0.0974184120798831,1.4554310764734533,14.94,1,Returning_Instagram,10.265,0.1417857843617587,1.4554310764734533,0.0974184120798831,10.265
2024-06-27,Pastry,Flyers,Summer,Returning,168.41,10,461.81,Thursday,June,2024,0.05937889674009857,2.742176830354492,46.181,1,Returning_Flyers,16.841,0.16282743485271017,2.742176830354492,0.05937889674009857,16.841
2024-08-09,Coffee,Referral,Winter,New,84.46,9,132.19,Friday,August,2024,0.10655931802036468,1.5651195832346674,14.687777777777777,0,New_Referral,9.384444444444444,0.16677807540980355,0.0,0.10655931802036468,9.384444444444444
2024-11-27,Coffee,Google Ads,Fall,New,69.4,9,198.7,Wednesday,November,2024,0.12968299711815562,2.8631123919308354,22.077777777777776,0,New_Google Ads,7.711111111111112,0.3712969960717222,0.0,0.12968299711815562,7.711111111111112
